fpl_id,full_name,position,latest_team,2023/24,2024/25,min_2023/24,min_2024/25,proj_pts,rep_dyn,vorp_dyn,rec_bid_dyn,tier_dyn,aav
445,Harry Amass,DEF,Man Utd,0.0,4.0,0.0,345.0,6.4915396274828785,62.18306531579047,0.0,0.0,4,
42,Andrés García,DEF,Aston Villa,,8.0,,316.0,6.381881877059102,62.18306531579047,0.0,0.0,4,
109,Rico Henry,DEF,Brentford,13.0,4.0,401.0,94.0,6.189587610842029,62.18306531579047,0.0,0.0,4,
633,Hugo Bueno López,DEF,Wolves,29.0,0.0,727.0,0.0,5.43474937759189,62.18306531579047,0.0,0.0,4,
186,Connor Roberts,DEF,Burnley,12.0,,817.0,,5.330819211274341,62.18306531579047,0.0,0.0,4,
116,Aaron Hickey,DEF,Brentford,17.0,0.0,713.0,0.0,5.015848673344307,62.18306531579047,0.0,0.0,4,
79,Chris Mepham,DEF,Bournemouth,16.0,0.0,613.0,0.0,4.490341039109404,62.18306531579047,0.0,0.0,4,
233,Josh Acheampong,DEF,Chelsea,1.0,4.0,5.0,168.0,4.2754325277566965,62.18306531579047,0.0,0.0,4,
188,Hannes Delcroix,DEF,Burnley,7.0,,584.0,,4.1104534506147115,62.18306531579047,0.0,0.0,4,
447,Ayden Heaven,DEF,Man Utd,,10.0,,169.0,3.8129422522334804,62.18306531579047,0.0,0.0,4,
190,Hjalmar Ekdal,DEF,Burnley,15.0,,436.0,,3.46550748623003,62.18306531579047,0.0,0.0,4,
199,Joe Worrall,DEF,Burnley,13.0,0.0,438.0,0.0,3.437130414505054,62.18306531579047,0.0,0.0,4,
446,Tyler Fredricson,DEF,Man Utd,,2.0,,166.0,3.36141281157538,62.18306531579047,0.0,0.0,4,
448,Tyrell Malacia,DEF,Man Utd,0.0,2.0,0.0,99.0,2.0886972304391067,62.18306531579047,0.0,0.0,4,
262,Chadi Riad Dnanou,DEF,Crystal Palace,,1.0,,90.0,1.8818278281716019,62.18306531579047,0.0,0.0,4,
297,Roman Dixon,DEF,Everton,,0.0,,90.0,1.8540919791149981,62.18306531579047,0.0,0.0,5,
640,Pedro Cardoso de Lima,DEF,Wolves,,2.0,,69.0,1.4835934496757057,62.18306531579047,0.0,0.0,5,
484,Matt Targett,DEF,Newcastle,2.0,2.0,77.0,20.0,1.2623662750739892,62.18306531579047,0.0,0.0,5,
117,Kim Ji-soo,DEF,Brentford,0.0,3.0,0.0,28.0,0.6271711380904574,62.18306531579047,0.0,0.0,5,
154,Eiran Cashin,DEF,Brighton,,1.0,,19.0,0.4158438935634854,62.18306531579047,0.0,0.0,5,
265,Caleb Kporha,DEF,Crystal Palace,,2.0,,11.0,0.2455935636055689,62.18306531579047,0.0,0.0,5,
80,Julio Soler Barreto,DEF,Bournemouth,,3.0,,9.0,0.20412897593060614,62.18306531579047,0.0,0.0,5,
481,Alex Murphy,DEF,Newcastle,2.0,0.0,11.0,0.0,0.10350719710920334,62.18306531579047,0.0,0.0,5,
